# The count includes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# bot_boring__only=True: when True, only rows with at least one interesting flag are written.
column_x  non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total
     179         1  prime           -             -              0.00558659217877094972067039106145251396648044692737
     180       132  between_primes  -             -              0.73333333333333333333333333333333333333333333333333
     181         1  prime           -             -              0.00552486187845303867403314917127071823204419889503
     191         1  prime           -             -              0.00523560209424083769633507853403141361256544502618
     192       128  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
     193         1  prime           -             -              0.00518134715025906735751295336787564766839378238342
     197         1  prime           -             -              0.00507614213197969543147208121827411167512690355330
     198       138  between_primes  -             -              0.69696969696969696969696969696969696969696969696970
     199         1  prime           -             -              0.00502512562814070351758793969849246231155778894472
     211         1  prime           -             -              0.00473933649289099526066350710900473933649289099526
     216       144  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     223         1  prime           -             -              0.00448430493273542600896860986547085201793721973094
     227         1  prime           -             -              0.00440528634361233480176211453744493392070484581498
     228       156  between_primes  -             -              0.68421052631578947368421052631578947368421052631579
     229         1  prime           -             -              0.00436681222707423580786026200873362445414847161572
     233         1  prime           -             -              0.00429184549356223175965665236051502145922746781116
     239         1  prime           -             -              0.00418410041841004184100418410041841004184100418410
     240       176  between_primes  -             -              0.73333333333333333333333333333333333333333333333333
     241         1  prime           -             -              0.00414937759336099585062240663900414937759336099585
     251         1  prime           -             -              0.00398406374501992031872509960159362549800796812749
     257         1  prime           -             -              0.00389105058365758754863813229571984435797665369650
     263         1  prime           -             -              0.00380228136882129277566539923954372623574144486692
     269         1  prime           -             -              0.00371747211895910780669144981412639405204460966543
     270       198  between_primes  -             -              0.73333333333333333333333333333333333333333333333333
     271         1  prime           -             -              0.00369003690036900369003690036900369003690036900369
     277         1  prime           -             -              0.00361010830324909747292418772563176895306859205776
     281         1  prime           -             -              0.00355871886120996441281138790035587188612099644128
     282       190  between_primes  -             -              0.67375886524822695035460992907801418439716312056738
     283         1  prime           -             -              0.00353356890459363957597173144876325088339222614841
     288       192  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     293         1  prime           -             -              0.00341296928327645051194539249146757679180887372014
     307         1  prime           -             -              0.00325732899022801302931596091205211726384364820847
     311         1  prime           -             -              0.00321543408360128617363344051446945337620578778135
     312       216  between_primes  -             -              0.69230769230769230769230769230769230769230769230769
     313         1  prime           -             -              0.00319488817891373801916932907348242811501597444089
     317         1  prime           -             -              0.00315457413249211356466876971608832807570977917981
     324       216  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     331         1  prime           -             -              0.00302114803625377643504531722054380664652567975831
     337         1  prime           -             -              0.00296735905044510385756676557863501483679525222552
     347         1  prime           -             -              0.00288184438040345821325648414985590778097982708934
     348       236  between_primes  -             -              0.67816091954022988505747126436781609195402298850575
     349         1  prime           -             -              0.00286532951289398280802292263610315186246418338109
     353         1  prime           -             -              0.00283286118980169971671388101983002832861189801700
     359         1  prime           -             -              0.00278551532033426183844011142061281337047353760446
     367         1  prime           -             -              0.00272479564032697547683923705722070844686648501362
     373         1  prime           -             -              0.00268096514745308310991957104557640750670241286863
     379         1  prime           -             -              0.00263852242744063324538258575197889182058047493404
     383         1  prime           -             -              0.00261096605744125326370757180156657963446475195822
     384       256  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     389         1  prime           -             -              0.00257069408740359897172236503856041131105398457584
     397         1  prime           -             -              0.00251889168765743073047858942065491183879093198992
     401         1  prime           -             -              0.00249376558603491271820448877805486284289276807980
     409         1  prime           -             -              0.00244498777506112469437652811735941320293398533007
     419         1  prime           -             -              0.00238663484486873508353221957040572792362768496420
     420       324  between_primes  -             -              0.77142857142857142857142857142857142857142857142857
     421         1  prime           -             -              0.00237529691211401425178147268408551068883610451306
     431         1  prime           -             -              0.00232018561484918793503480278422273781902552204176
     432       288  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
     433         1  prime           -             -              0.00230946882217090069284064665127020785219399538106
     439         1  prime           -             -              0.00227790432801822323462414578587699316628701594533
     443         1  prime           -             -              0.00225733634311512415349887133182844243792325056433
     449         1  prime           -             -              0.00222717149220489977728285077951002227171492204900
     457         1  prime           -             -              0.00218818380743982494529540481400437636761487964989
     461         1  prime           -             -              0.00216919739696312364425162689804772234273318872017
     462       342  between_primes  -             -              0.74025974025974025974025974025974025974025974025974
     463         1  prime           -             -              0.00215982721382289416846652267818574514038876889849
     467         1  prime           -             -              0.00214132762312633832976445396145610278372591006424
     479         1  prime           -             -              0.00208768267223382045929018789144050104384133611691
     486       324  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     487         1  prime           -             -              0.00205338809034907597535934291581108829568788501027
     491         1  prime           -             -              0.00203665987780040733197556008146639511201629327902
     499         1  prime           -             -              0.00200400801603206412825651302605210420841683366733
     503         1  prime           -             -              0.00198807157057654075546719681908548707753479125249
     509         1  prime           -             -              0.00196463654223968565815324165029469548133595284872
     521         1  prime           -             -              0.00191938579654510556621880998080614203454894433781
     522       354  between_primes  -             -              0.67816091954022988505747126436781609195402298850575
     523         1  prime           -             -              0.00191204588910133843212237093690248565965583173996
     541         1  prime           -             -              0.00184842883548983364140480591497227356746765249538
     547         1  prime           -             -              0.00182815356489945155393053016453382084095063985375
     557         1  prime           -             -              0.00179533213644524236983842010771992818671454219031
     563         1  prime           -             -              0.00177619893428063943161634103019538188277087033748
     569         1  prime           -             -              0.00175746924428822495606326889279437609841827768014
     570       426  between_primes  -             -              0.74736842105263157894736842105263157894736842105263
     571         1  prime           -             -              0.00175131348511383537653239929947460595446584938704
     576       384  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     577         1  prime           -             -              0.00173310225303292894280762564991334488734835355286
     587         1  prime           -             -              0.00170357751277683134582623509369676320272572402044
     593         1  prime           -             -              0.00168634064080944350758853288364249578414839797639
     599         1  prime           -             -              0.00166944908180300500834724540901502504173622704508
     600       440  between_primes  -             -              0.73333333333333333333333333333333333333333333333333
     601         1  prime           -             -              0.00166389351081530782029950083194675540765391014975
     607         1  prime           -             -              0.00164744645799011532125205930807248764415156507414
     613         1  prime           -             -              0.00163132137030995106035889070146818923327895595432
     617         1  prime           -             -              0.00162074554294975688816855753646677471636952998379
     618       414  between_primes  -             -              0.66990291262135922330097087378640776699029126213592
     619         1  prime           -             -              0.00161550888529886914378029079159935379644588045234
     631         1  prime           -             -              0.00158478605388272583201267828843106180665610142631
     641         1  prime           -             -              0.00156006240249609984399375975039001560062402496100
     642       430  between_primes  -             -              0.66978193146417445482866043613707165109034267912773
     643         1  prime           -             -              0.00155520995334370139968895800933125972006220839813
     647         1  prime           -             -              0.00154559505409582689335394126738794435857805255023
     648       432  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     653         1  prime           -             -              0.00153139356814701378254211332312404287901990811639
     659         1  prime           -             -              0.00151745068285280728376327769347496206373292867982
     660       500  between_primes  -             -              0.75757575757575757575757575757575757575757575757576
     661         1  prime           -             -              0.00151285930408472012102874432677760968229954614221
     673         1  prime           -             -              0.00148588410104011887072808320950965824665676077266
     677         1  prime           -             -              0.00147710487444608567208271787296898079763663220089
     683         1  prime           -             -              0.00146412884333821376281112737920937042459736456808
     691         1  prime           -             -              0.00144717800289435600578871201157742402315484804631
     701         1  prime           -             -              0.00142653352353780313837375178316690442225392296719
     709         1  prime           -             -              0.00141043723554301833568406205923836389280677009873
     719         1  prime           -             -              0.00139082058414464534075104311543810848400556328234
     727         1  prime           -             -              0.00137551581843191196698762035763411279229711141678
     733         1  prime           -             -              0.00136425648021828103683492496589358799454297407913
     739         1  prime           -             -              0.00135317997293640054127198917456021650879566982409
     743         1  prime           -             -              0.00134589502018842530282637954239569313593539703903
     751         1  prime           -             -              0.00133155792276964047936085219707057256990679094541
     757         1  prime           -             -              0.00132100396301188903566710700132100396301188903567
     761         1  prime           -             -              0.00131406044678055190538764783180026281208935611038
     768       512  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     769         1  prime           -             -              0.00130039011703511053315994798439531859557867360208
     773         1  prime           -             -              0.00129366106080206985769728331177231565329883570505
     787         1  prime           -             -              0.00127064803049555273189326556543837357052096569250
     797         1  prime           -             -              0.00125470514429109159347553324968632371392722710163
     809         1  prime           -             -              0.00123609394313967861557478368355995055624227441286
     810       594  between_primes  -             -              0.73333333333333333333333333333333333333333333333333
     811         1  prime           -             -              0.00123304562268803945745992601726263871763255240444
     821         1  prime           -             -              0.00121802679658952496954933008526187576126674786845
     822       550  between_primes  -             -              0.66909975669099756690997566909975669099756690997567
     823         1  prime           -             -              0.00121506682867557715674362089914945321992709599028
     827         1  prime           -             -              0.00120918984280532043530834340991535671100362756953
     828       564  between_primes  -             -              0.68115942028985507246376811594202898550724637681159
     829         1  prime           -             -              0.00120627261761158021712907117008443908323281061520
     839         1  prime           -             -              0.00119189511323003575685339690107270560190703218117
     853         1  prime           -             -              0.00117233294255568581477139507620164126611957796014
     857         1  prime           -             -              0.00116686114352392065344224037339556592765460910152
     858       618  between_primes  -             -              0.72027972027972027972027972027972027972027972027972
     859         1  prime           -             -              0.00116414435389988358556461001164144353899883585565
     863         1  prime           -             -              0.00115874855156431054461181923522595596755504055620
     864       576  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     877         1  prime           -             -              0.00114025085518814139110604332953249714937286202965
     881         1  prime           -             -              0.00113507377979568671963677639046538024971623155505
     882       630  between_primes  -             -              0.71428571428571428571428571428571428571428571428571
     883         1  prime           -             -              0.00113250283125707814269535673839184597961494903737
     887         1  prime           -             -              0.00112739571589627959413754227733934611048478015784
     907         1  prime           -             -              0.00110253583241455347298787210584343991179713340684
     911         1  prime           -             -              0.00109769484083424807903402854006586169045005488474
     919         1  prime           -             -              0.00108813928182807399347116430903155603917301414581
     929         1  prime           -             -              0.00107642626480086114101184068891280947255113024758
     937         1  prime           -             -              0.00106723585912486659551760939167556029882604055496
     941         1  prime           -             -              0.00106269925611052072263549415515409139213602550478
     947         1  prime           -             -              0.00105596620908130939809926082365364308342133051742
     953         1  prime           -             -              0.00104931794333683105981112277019937040923399790136
     967         1  prime           -             -              0.00103412616339193381592554291623578076525336091003
     971         1  prime           -             -              0.00102986611740473738414006179196704428424304840371
     972       648  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     977         1  prime           -             -              0.00102354145342886386898669396110542476970317297851
     983         1  prime           -             -              0.00101729399796541200406917599186164801627670396745
     991         1  prime           -             -              0.00100908173562058526740665993945509586276488395560
     997         1  prime           -             -              0.00100300902708124373119358074222668004012036108325
    1009         1  prime           -             -              0.00099108027750247770069375619425173439048562933598
    1013         1  prime           -             -              0.00098716683119447186574531095755182625863770977295
    1019         1  prime           -             -              0.00098135426889106967615309126594700686947988223749
    1020       764  between_primes  -             -              0.74901960784313725490196078431372549019607843137255
    1021         1  prime           -             -              0.00097943192948090107737512242899118511263467189030
    1031         1  prime           -             -              0.00096993210475266731328806983511154219204655674103
    1032       696  between_primes  -             -              0.67441860465116279069767441860465116279069767441860
    1033         1  prime           -             -              0.00096805421103581800580832526621490803484995159729
    1039         1  prime           -             -              0.00096246390760346487006737247353224254090471607315
    1049         1  prime           -             -              0.00095328884652049571020019065776930409914204003813
    1050       810  between_primes  -             -              0.77142857142857142857142857142857142857142857142857
    1051         1  prime           -             -              0.00095147478591817316841103710751665080875356803045
    1061         1  prime           -             -              0.00094250706880301602262016965127238454288407163054
