# The count includes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# bot_boring__only=False: when True, only rows with at least one interesting flag are written.
column_x  non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total
      31         1  prime           -             -              0.03225806451612903225806451612903225806451612903226
      32        16  neither         -             -              0.50000000000000000000000000000000000000000000000000
      33        13  neither         -             -              0.39393939393939393939393939393939393939393939393939
      34        18  neither         -             -              0.52941176470588235294117647058823529411764705882353
      35        11  neither         -             -              0.31428571428571428571428571428571428571428571428571
      36        24  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
      37         1  prime           -             -              0.02702702702702702702702702702702702702702702702703
      38        20  neither         -             -              0.52631578947368421052631578947368421052631578947368
      39        15  neither         -             -              0.38461538461538461538461538461538461538461538461538
      40        24  neither         -             -              0.60000000000000000000000000000000000000000000000000
      41         1  prime           -             -              0.02439024390243902439024390243902439024390243902439
      42        30  between_primes  -             -              0.71428571428571428571428571428571428571428571428571
      43         1  prime           -             -              0.02325581395348837209302325581395348837209302325581
      44        24  neither         -             -              0.54545454545454545454545454545454545454545454545455
      45        21  neither         -             -              0.46666666666666666666666666666666666666666666666667
      46        24  neither         -             -              0.52173913043478260869565217391304347826086956521739
      47         1  prime           -             -              0.02127659574468085106382978723404255319148936170213
      48        32  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
      49         7  neither         -             -              0.14285714285714285714285714285714285714285714285714
      50        30  neither         -             -              0.60000000000000000000000000000000000000000000000000
      51        19  neither         -             -              0.37254901960784313725490196078431372549019607843137
      52        28  neither         -             -              0.53846153846153846153846153846153846153846153846154
      53         1  prime           -             -              0.01886792452830188679245283018867924528301886792453
      54        36  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
      55        15  neither         -             -              0.27272727272727272727272727272727272727272727272727
      56        32  neither         -             -              0.57142857142857142857142857142857142857142857142857
      57        21  neither         -             -              0.36842105263157894736842105263157894736842105263158
      58        30  neither         -             -              0.51724137931034482758620689655172413793103448275862
      59         1  prime           -             -              0.01694915254237288135593220338983050847457627118644
      60        44  between_primes  -             -              0.73333333333333333333333333333333333333333333333333
      61         1  prime           -             -              0.01639344262295081967213114754098360655737704918033
      62        32  neither         -             -              0.51612903225806451612903225806451612903225806451613
      63        27  neither         -             -              0.42857142857142857142857142857142857142857142857143
