# INCLUDE_DIAGONAL=False: The non_blue count excludes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places; total is column_x.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# OUTPUT_MODE='between_primes': only rows with x_flag="between_primes" are written.
column_x  non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total
    3252      2171  between_primes  -             -              0.66758917589175891758917589175891758917589175891759
    3258      2177  between_primes  -             -              0.66820135052179251074278698588090853284223449969306
    3300      2499  between_primes  -             -              0.75727272727272727272727272727272727272727272727273
    3330      2465  between_primes  -             -              0.74024024024024024024024024024024024024024024024024
    3360      2591  between_primes  -             -              0.77113095238095238095238095238095238095238095238095
    3372      2251  between_primes  -             -              0.66755634638196915776986951364175563463819691577699
    3390      2493  between_primes  -             -              0.73539823008849557522123893805309734513274336283186
    3462      2309  between_primes  -             -              0.66695551704217215482380127094165222414789139225881
    3468      2379  between_primes  -             -              0.68598615916955017301038062283737024221453287197232
    3528      2519  between_primes  -             -              0.71400226757369614512471655328798185941043083900227
    3540      2611  between_primes  -             -              0.73757062146892655367231638418079096045197740112994
    3558      2373  between_primes  -             -              0.66694772344013490725126475548060708263069139966273
    3582      2393  between_primes  -             -              0.66806253489670575097710776102735901730876605248465
    3672      2519  between_primes  -             -              0.68600217864923747276688453159041394335511982570806
    3768      2519  between_primes  -             -              0.66852441613588110403397027600849256900212314225053
    3822      2813  between_primes  -             -              0.73600209314495028780743066457352171637885923600209
    3852      2579  between_primes  -             -              0.66952232606438213914849428868120456905503634475597
    3918      2613  between_primes  -             -              0.66692189892802450229709035222052067381316998468606
    3930      2889  between_primes  -             -              0.73511450381679389312977099236641221374045801526718
    4002      2769  between_primes  -             -              0.69190404797601199400299850074962518740629685157421
    4020      2963  between_primes  -             -              0.73706467661691542288557213930348258706467661691542
    4050      2969  between_primes  -             -              0.73308641975308641975308641975308641975308641975309
    4092      2891  between_primes  -             -              0.70650048875855327468230694037145650048875855327468
    4128      2783  between_primes  -             -              0.67417635658914728682170542635658914728682170542636
    4158      3077  between_primes  -             -              0.74001924001924001924001924001924001924001924001924
    4218      2921  between_primes  -             -              0.69250829777145566619250829777145566619250829777146
    4230      3125  between_primes  -             -              0.73877068557919621749408983451536643026004728132388
    4242      3041  between_primes  -             -              0.71687883074021687883074021687883074021687883074022
    4260      3139  between_primes  -             -              0.73685446009389671361502347417840375586854460093897
    4272      2863  between_primes  -             -              0.67017790262172284644194756554307116104868913857678
    4338      2897  between_primes  -             -              0.66781927155371138773628400184416781927155371138774
    4422      3101  between_primes  -             -              0.70126639529624604251469923111714156490275893260968
    4482      3005  between_primes  -             -              0.67045961624274877286925479696564033913431503792950
    4518      3017  between_primes  -             -              0.66777335104028331119964586100044267374944665781319
    4548      3035  between_primes  -             -              0.66732629727352682497801231310466138962181178540018
    4638      3093  between_primes  -             -              0.66688227684346701164294954721862871927554980595084
    4650      3449  between_primes  -             -              0.74172043010752688172043010752688172043010752688172
    4722      3149  between_primes  -             -              0.66687844133841592545531554426090639559508682761542
    4788      3491  between_primes  -             -              0.72911445279866332497911445279866332497911445279866
    4800      3519  between_primes  -             -              0.73312500000000000000000000000000000000000000000000
    4932      3299  between_primes  -             -              0.66889699918896999188969991889699918896999188969992
    4968      3383  between_primes  -             -              0.68095813204508856682769726247987117552334943639291
    5010      3681  between_primes  -             -              0.73473053892215568862275449101796407185628742514970
    5022      3401  between_primes  -             -              0.67722023098367184388689765033851055356431700517722
    5100      3819  between_primes  -             -              0.74882352941176470588235294117647058823529411764706
    5232      3503  between_primes  -             -              0.66953363914373088685015290519877675840978593272171
    5280      3999  between_primes  -             -              0.75738636363636363636363636363636363636363636363636
    5418      3905  between_primes  -             -              0.72074566260612772240679217423403469915097822074566
    5442      3629  between_primes  -             -              0.66685042263873575891216464535097390665196618890114
    5478      3837  between_primes  -             -              0.70043811610076670317634173055859802847754654983571
    5502      3941  between_primes  -             -              0.71628498727735368956743002544529262086513994910941
    5520      4111  between_primes  -             -              0.74474637681159420289855072463768115942028985507246
    5640      4167  between_primes  -             -              0.73882978723404255319148936170212765957446808510638
    5652      3779  between_primes  -             -              0.66861288039631988676574663835810332625619249823071
    5658      3897  between_primes  -             -              0.68875927889713679745493107104984093319194061505832
    5742      4061  between_primes  -             -              0.70724486241727621037965865552072448624172762103797
    5850      4409  between_primes  -             -              0.75367521367521367521367521367521367521367521367521
    5868      3923  between_primes  -             -              0.66854124062713019768234492160872528970688479890934
    5880      4535  between_primes  -             -              0.77125850340136054421768707482993197278911564625850
    6090      4745  between_primes  -             -              0.77914614121510673234811165845648604269293924466338
    6132      4403  between_primes  -             -              0.71803652968036529680365296803652968036529680365297
    6198      4133  between_primes  -             -              0.66682800903517263633430138754436915133914165859955
    6270      4829  between_primes  -             -              0.77017543859649122807017543859649122807017543859649
    6300      4859  between_primes  -             -              0.77126984126984126984126984126984126984126984126984
    6360      4695  between_primes  -             -              0.73820754716981132075471698113207547169811320754717
    6450      4769  between_primes  -             -              0.73937984496124031007751937984496124031007751937984
    6552      4823  between_primes  -             -              0.73611111111111111111111111111111111111111111111111
    6570      4841  between_primes  -             -              0.73683409436834094368340943683409436834094368340944
    6660      4931  between_primes  -             -              0.74039039039039039039039039039039039039039039039039
    6690      4913  between_primes  -             -              0.73437967115097159940209267563527653213751868460389
    6702      4469  between_primes  -             -              0.66681587585795284989555356609967173977917039689645
    6762      4913  between_primes  -             -              0.72656018929310854776693286010056196391600118308193
    6780      4987  between_primes  -             -              0.73554572271386430678466076696165191740412979351032
    6792      4535  between_primes  -             -              0.66769729093050647820965842167255594817432273262662
    6828      4555  between_primes  -             -              0.66710603397773872290568248388986526069127123608670
    6870      5045  between_primes  -             -              0.73435225618631732168850072780203784570596797671033
    6948      4643  between_primes  -             -              0.66824985607369027058146229130685089234312032239493
    6960      5167  between_primes  -             -              0.74238505747126436781609195402298850574712643678161
    7128      4967  between_primes  -             -              0.69682940516273849607182940516273849607182940516274
    7212      4811  between_primes  -             -              0.66708264004437049362174154187465335551858014420410
    7308      5291  between_primes  -             -              0.72400109469074986316365626710454296661193212917351
    7332      5123  between_primes  -             -              0.69871794871794871794871794871794871794871794871795
    7350      5669  between_primes  -             -              0.77129251700680272108843537414965986394557823129252
    7458      5217  between_primes  -             -              0.69951729686242960579243765084473049074818986323411
    7488      5183  between_primes  -             -              0.69217414529914529914529914529914529914529914529915
    7548      5243  between_primes  -             -              0.69462109167991520932697403285638579756226815050344
    7560      5831  between_primes  -             -              0.77129629629629629629629629629629629629629629629630
    7590      5829  between_primes  -             -              0.76798418972332015810276679841897233201581027667984
    7758      5177  between_primes  -             -              0.66731116267079144109306522299561742717195153390049
    7878      5477  between_primes  -             -              0.69522721502919522721502919522721502919522721502920
    7950      5869  between_primes  -             -              0.73823899371069182389937106918238993710691823899371
    8010      5897  between_primes  -             -              0.73620474406991260923845193508114856429463171036205
    8088      5399  between_primes  -             -              0.66753214638971315529179030662710187932739861523244
    8220      6043  between_primes  -             -              0.73515815085158150851581508515815085158150851581509
    8232      5879  between_primes  -             -              0.71416423712342079689018464528668610301263362487852
    8292      5531  between_primes  -             -              0.66702846116739025566811384466956102267245537867824
    8388      5603  between_primes  -             -              0.66797806390081068192656175488793514544587505960897
    8430      6189  between_primes  -             -              0.73416370106761565836298932384341637010676156583630
    8538      5693  between_primes  -             -              0.66678379011478097915202623565237760599672054345280
    8598      5733  between_primes  -             -              0.66678297278436845778087927424982554082344731332868
    8628      5755  between_primes  -             -              0.66701437181270282800185442744552619378766805748725
    8820      6803  between_primes  -             -              0.77131519274376417233560090702947845804988662131519
    8838      5897  between_primes  -             -              0.66723240552161122425888210002262955419778230368862
    8862      6341  between_primes  -             -              0.71552696908147145113969758519521552696908147145114
    8970      6857  between_primes  -             -              0.76443701226309921962095875139353400222965440356745
    9000      6599  between_primes  -             -              0.73322222222222222222222222222222222222222222222222
    9012      6011  between_primes  -             -              0.66699955614735907678650687971593430980914336440302
    9042      6321  between_primes  -             -              0.69907100199071001990710019907100199071001990710020
    9240      7319  between_primes  -             -              0.79209956709956709956709956709956709956709956709957
    9282      6977  between_primes  -             -              0.75166989872872225813402283990519284636931695755225
    9342      6245  between_primes  -             -              0.66848640548062513380432455576964247484478698351531
    9420      6923  between_primes  -             -              0.73492569002123142250530785562632696390658174097665
    9432      6311  between_primes  -             -              0.66910517387616624257845631891433418150975402883800
    9438      6797  between_primes  -             -              0.72017376562831108285653740199194744649290103835558
    9462      6509  between_primes  -             -              0.68790953286831536673007820756711054745296977383217
    9630      7085  between_primes  -             -              0.73572170301142263759086188992731048805815160955348
    9678      6453  between_primes  -             -              0.66676999380037197768133911965282083075015499070056
    9720      7127  between_primes  -             -              0.73323045267489711934156378600823045267489711934156
    9768      6887  between_primes  -             -              0.70505733005733005733005733005733005733005733005733
    9858      6737  between_primes  -             -              0.68340434165145059849868127409210793264353824305133
    9930      7289  between_primes  -             -              0.73403826787512588116817724068479355488418932527694
   10008      6695  between_primes  -             -              0.66896482813749000799360511590727418065547561950440
   10038      7181  between_primes  -             -              0.71538155010958358238692966726439529786810121538155
   10068      6715  between_primes  -             -              0.66696464044497417560588001589193484306714342471196
   10092      6843  between_primes  -             -              0.67806183115338882282996432818073721759809750297265
   10140      7643  between_primes  -             -              0.75374753451676528599605522682445759368836291913215
   10272      6879  between_primes  -             -              0.66968457943925233644859813084112149532710280373832
   10302      7101  between_primes  -             -              0.68928363424577751892836342457775189283634245777519
   10332      7451  between_primes  -             -              0.72115756871854432830042586140147115756871854432830
   10428      7307  between_primes  -             -              0.70070962792481779823551975450709627924817798235520
   10458      7505  between_primes  -             -              0.71763243449990437942245171160833811436221074775292
   10500      8099  between_primes  -             -              0.77133333333333333333333333333333333333333333333333
   10530      7937  between_primes  -             -              0.75375118708452041785375118708452041785375118708452
   10710      8405  between_primes  -             -              0.78478057889822595704948646125116713352007469654528
