# INCLUDE_DIAGONAL=False: The non_blue count excludes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places; total is column_x.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# OUTPUT_MODE='both': only rows with combined_flag="both" are written.
# Compute strategy: candidate scan over 264,438 pattern coordinates; no bound-sized arrays allocated.
                                                                                                                                                                                                                                                                            column_x                                                                                                                                                                                                                                                                              non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total                                                                                                                                                                                                                                                                   column_x - non_blue
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------------  ------------  -------------  ----------------------------------------------------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                                                                                                                                                                                22161087866383368192                                                                                                                                                                                                                                                                  14774058577588912127  between_primes  3,1 pattern   both           0.66666666666666666662154252808514325903882003076398                                                                                                                                                                                                                                                                   7387029288794456065
                                                                                                                                                                                                                                                                83010348331692982272                                                                                                                                                                                                                                                                  55340232221128654847  between_primes  3,1 pattern   both           0.66666666666666666665461997586127217295547274665700                                                                                                                                                                                                                                                                  27670116110564327425
                                                                                                                                                                                                                                                    62518864539857068333550694039552                                                                                                                                                                                                                                                      41679243026571378889033796026367  between_primes  3,1 pattern   both           0.66666666666666666666666666666665067149453166284984                                                                                                                                                                                                                                                      20839621513285689444516898013185
                                                                                                                                                                                                                                                  2107631844899214418882499117580288                                                                                                                                                                                                                                                    1405087896599476279254999411720191  between_primes  3,1 pattern   both           0.66666666666666666666666666666666619220050104094310                                                                                                                                                                                                                                                     702543948299738139627499705860097
                                                                                                                                                                                                                                                 37426750146438358964489413787123712                                                                                                                                                                                                                                                   24951166764292239309659609191415807  between_primes  3,1 pattern   both           0.66666666666666666666666666666666663994780926955539                                                                                                                                                                                                                                                   12475583382146119654829804595707905
                                                                                                                                                                                                                                    494845989554478732079392866771967864139816108032                                                                                                                                                                                                                                      329897326369652488052928577847978576093210738687  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666465                                                                                                                                                                                                                                      164948663184826244026464288923989288046605369345
                                                                                                                                                                                                                             5534758702326155637001402183128351734488232696488132608                                                                                                                                                                                                                               3689839134884103758000934788752234489658821797658755071  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                                                                               1844919567442051879000467394376117244829410898829377537
                                                                                                                                                                                                                          2720904103988016573375946787147774807229290304148416233472                                                                                                                                                                                                                            1813936069325344382250631191431849871486193536098944155647  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                                                                             906968034662672191125315595715924935743096768049472077825
                                                                                                                                                                                                                       8944583901398604543920352809875498917967094090755531591385088                                                                                                                                                                                                                         5963055934265736362613568539916999278644729393837021060923391  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                                                                         2981527967132868181306784269958499639322364696918510530461697
                                                                                                                                                                                                                   12378954721727020305795771400086054740789975131992735584524173312                                                                                                                                                                                                                      8252636481151346870530514266724036493859983421328490389682782207  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                                                                      4126318240575673435265257133362018246929991710664245194841391105
                                                                                                                                                                                                                   29619082031781708758789445286032309089689245581404437540274962432                                                                                                                                                                                                                     19746054687854472505859630190688206059792830387602958360183308287  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                                                                      9873027343927236252929815095344103029896415193801479180091654145
                                                                                                                                                                                         2613297681219375885545602817911250456639397936536542325762510610824009237841657436494102528                                                                                                                                                                                           1742198454146250590363735211940833637759598624357694883841673740549339491894438290996068351  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                                            871099227073125295181867605970416818879799312178847441920836870274669745947219145498034177
                                                                                                                                                                                        14683219893380745716316583185410811893545917624216292683570978685782087569546541645925711872                                                                                                                                                                                           9788813262253830477544388790273874595697278416144195122380652457188058379697694430617141247  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                                           4894406631126915238772194395136937297848639208072097561190326228594029189848847215308570625
                                                                                                                                                                        532343134416930165612204786578681826389190178346899861288698523051677222082692946607638363124078606278459392                                                                                                                                                                          354895422944620110408136524385787884259460118897933240859132348701118148055128631071758908749385737518972927  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                          177447711472310055204068262192893942129730059448966620429566174350559074027564315535879454374692868759486465
                                                                                                                                                                       9200443134695878541864884511865825780935069784543166032159897088161199336212000462666944052536701267363233792                                                                                                                                                                         6133628756463919027909923007910550520623379856362110688106598058774132890808000308444629368357800844908822527  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                         3066814378231959513954961503955275260311689928181055344053299029387066445404000154222314684178900422454411265
                                                                                                                                                                 1096788021199826860242578533123799099599698652839505134998794484429407449048068380595326918875953642864298550099968                                                                                                                                                                    731192014133217906828385688749199399733132435226336756665862989619604966032045587063551279250635761909532366733311  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                    365596007066608953414192844374599699866566217613168378332931494809802483016022793531775639625317880954766183366657
                                                                                                                                                                27472375993111738191951875314279165928659623415529341081372938146895930638739653989516092269769749397126338291171328                                                                                                                                                                  18314917328741158794634583542852777285773082277019560720915292097930620425826435993010728179846499598084225527447551  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                                   9157458664370579397317291771426388642886541138509780360457646048965310212913217996505364089923249799042112763723777
                                                                                                                                             121393007581101193173946585834462817795810273856201222609164225249831732592649666711440297800413601646398950999167168998517319535689728                                                                                                                                                80928671720734128782631057222975211863873515904134148406109483499887821728433111140960198533609067764265967332778112665678213023793151  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                                                40464335860367064391315528611487605931936757952067074203054741749943910864216555570480099266804533882132983666389056332839106511896577
                                                                                                                             3572969090889196673570075320014135277201381065576595418700093849961560531138553006588963352610552638816571028784552559097123632097989603527394745909248                                                                                                                               2381979393926131115713383546676090184800920710384396945800062566641040354092368671059308901740368425877714019189701706064749088065326402351596497272831  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                                               1190989696963065557856691773338045092400460355192198472900031283320520177046184335529654450870184212938857009594850853032374544032663201175798248636417
                                                                                                            268702246769550065248457851809054065859549194562559753811363198898846024902215041274402234397680801722756373733449000290683163970902122882791755341996830848435577946112                                                                                                              179134831179700043498971901206036043906366129708373169207575465932564016601476694182934822931787201148504249155632666860455442647268081921861170227997887232290385297407  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                               89567415589850021749485950603018021953183064854186584603787732966282008300738347091467411465893600574252124577816333430227721323634040960930585113998943616145192648705
                                                                                               1730624764179139565744095906007031601230663029361345462550742946996639083896581832491469104665290457925709487939685388898200077975301591284055783636760870666744012883430783133417472                                                                                                 1153749842786093043829397270671354400820442019574230308367161964664426055931054554994312736443526971950472991959790259265466718650201060856037189091173913777829341922287188755611647  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667                                                                                                  576874921393046521914698635335677200410221009787115154183580982332213027965527277497156368221763485975236495979895129632733359325100530428018594545586956888914670961143594377805825
