# INCLUDE_DIAGONAL=False: The non_blue count excludes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places; total is column_x.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# OUTPUT_MODE='interesting_but_only_prime_excluded': only interesting rows whose x_flag is not "prime" are written.
column_x  non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total  column_x - non_blue
    4374      2915  neither         3,1 pattern   -              0.66643804298125285779606767261088248742569730224051                 1459
    4422      3101  between_primes  -             -              0.70126639529624604251469923111714156490275893260968                 1321
    4482      3005  between_primes  -             -              0.67045961624274877286925479696564033913431503792950                 1477
    4518      3017  between_primes  -             -              0.66777335104028331119964586100044267374944665781319                 1501
    4548      3035  between_primes  -             -              0.66732629727352682497801231310466138962181178540018                 1513
    4608      3071  neither         3,1 pattern   -              0.66644965277777777777777777777777777777777777777778                 1537
    4638      3093  between_primes  -             -              0.66688227684346701164294954721862871927554980595084                 1545
    4650      3449  between_primes  -             -              0.74172043010752688172043010752688172043010752688172                 1201
    4722      3149  between_primes  -             -              0.66687844133841592545531554426090639559508682761542                 1573
    4788      3491  between_primes  -             -              0.72911445279866332497911445279866332497911445279866                 1297
    4800      3519  between_primes  -             -              0.73312500000000000000000000000000000000000000000000                 1281
    4932      3299  between_primes  -             -              0.66889699918896999188969991889699918896999188969992                 1633
    4968      3383  between_primes  -             -              0.68095813204508856682769726247987117552334943639291                 1585
    5010      3681  between_primes  -             -              0.73473053892215568862275449101796407185628742514970                 1329
    5022      3401  between_primes  -             -              0.67722023098367184388689765033851055356431700517722                 1621
    5100      3819  between_primes  -             -              0.74882352941176470588235294117647058823529411764706                 1281
    5184      3455  neither         3,1 pattern   -              0.66647376543209876543209876543209876543209876543210                 1729
    5232      3503  between_primes  -             -              0.66953363914373088685015290519877675840978593272171                 1729
    5280      3999  between_primes  -             -              0.75738636363636363636363636363636363636363636363636                 1281
    5418      3905  between_primes  -             -              0.72074566260612772240679217423403469915097822074566                 1513
    5442      3629  between_primes  -             -              0.66685042263873575891216464535097390665196618890114                 1813
    5478      3837  between_primes  -             -              0.70043811610076670317634173055859802847754654983571                 1641
    5502      3941  between_primes  -             -              0.71628498727735368956743002544529262086513994910941                 1561
    5520      4111  between_primes  -             -              0.74474637681159420289855072463768115942028985507246                 1409
    5640      4167  between_primes  -             -              0.73882978723404255319148936170212765957446808510638                 1473
    5652      3779  between_primes  -             -              0.66861288039631988676574663835810332625619249823071                 1873
    5658      3897  between_primes  -             -              0.68875927889713679745493107104984093319194061505832                 1761
    5742      4061  between_primes  -             -              0.70724486241727621037965865552072448624172762103797                 1681
    5832      3887  neither         3,1 pattern   -              0.66649519890260631001371742112482853223593964334705                 1945
    5850      4409  between_primes  -             -              0.75367521367521367521367521367521367521367521367521                 1441
    5868      3923  between_primes  -             -              0.66854124062713019768234492160872528970688479890934                 1945
    5880      4535  between_primes  -             -              0.77125850340136054421768707482993197278911564625850                 1345
    6090      4745  between_primes  -             -              0.77914614121510673234811165845648604269293924466338                 1345
    6132      4403  between_primes  -             -              0.71803652968036529680365296803652968036529680365297                 1729
    6144      4095  neither         3,1 pattern   -              0.66650390625000000000000000000000000000000000000000                 2049
    6198      4133  between_primes  -             -              0.66682800903517263633430138754436915133914165859955                 2065
    6270      4829  between_primes  -             -              0.77017543859649122807017543859649122807017543859649                 1441
    6300      4859  between_primes  -             -              0.77126984126984126984126984126984126984126984126984                 1441
    6360      4695  between_primes  -             -              0.73820754716981132075471698113207547169811320754717                 1665
    6450      4769  between_primes  -             -              0.73937984496124031007751937984496124031007751937984                 1681
    6552      4823  between_primes  -             -              0.73611111111111111111111111111111111111111111111111                 1729
    6570      4841  between_primes  -             -              0.73683409436834094368340943683409436834094368340944                 1729
    6660      4931  between_primes  -             -              0.74039039039039039039039039039039039039039039039039                 1729
    6690      4913  between_primes  -             -              0.73437967115097159940209267563527653213751868460389                 1777
    6702      4469  between_primes  -             -              0.66681587585795284989555356609967173977917039689645                 2233
    6762      4913  between_primes  -             -              0.72656018929310854776693286010056196391600118308193                 1849
    6780      4987  between_primes  -             -              0.73554572271386430678466076696165191740412979351032                 1793
    6792      4535  between_primes  -             -              0.66769729093050647820965842167255594817432273262662                 2257
    6828      4555  between_primes  -             -              0.66710603397773872290568248388986526069127123608670                 2273
    6870      5045  between_primes  -             -              0.73435225618631732168850072780203784570596797671033                 1825
    6912      4607  neither         3,1 pattern   -              0.66652199074074074074074074074074074074074074074074                 2305
    6948      4643  between_primes  -             -              0.66824985607369027058146229130685089234312032239493                 2305
    6960      5167  between_primes  -             -              0.74238505747126436781609195402298850574712643678161                 1793
    7128      4967  between_primes  -             -              0.69682940516273849607182940516273849607182940516274                 2161
    7212      4811  between_primes  -             -              0.66708264004437049362174154187465335551858014420410                 2401
    7308      5291  between_primes  -             -              0.72400109469074986316365626710454296661193212917351                 2017
    7332      5123  between_primes  -             -              0.69871794871794871794871794871794871794871794871795                 2209
    7350      5669  between_primes  -             -              0.77129251700680272108843537414965986394557823129252                 1681
    7458      5217  between_primes  -             -              0.69951729686242960579243765084473049074818986323411                 2241
    7488      5183  between_primes  -             -              0.69217414529914529914529914529914529914529914529915                 2305
    7548      5243  between_primes  -             -              0.69462109167991520932697403285638579756226815050344                 2305
    7560      5831  between_primes  -             -              0.77129629629629629629629629629629629629629629629630                 1729
    7590      5829  between_primes  -             -              0.76798418972332015810276679841897233201581027667984                 1761
    7758      5177  between_primes  -             -              0.66731116267079144109306522299561742717195153390049                 2581
    7776      5183  neither         3,1 pattern   -              0.66653806584362139917695473251028806584362139917695                 2593
    7878      5477  between_primes  -             -              0.69522721502919522721502919522721502919522721502920                 2401
    7950      5869  between_primes  -             -              0.73823899371069182389937106918238993710691823899371                 2081
    8010      5897  between_primes  -             -              0.73620474406991260923845193508114856429463171036205                 2113
    8088      5399  between_primes  -             -              0.66753214638971315529179030662710187932739861523244                 2689
    8220      6043  between_primes  -             -              0.73515815085158150851581508515815085158150851581509                 2177
    8232      5879  between_primes  -             -              0.71416423712342079689018464528668610301263362487852                 2353
    8292      5531  between_primes  -             -              0.66702846116739025566811384466956102267245537867824                 2761
    8388      5603  between_primes  -             -              0.66797806390081068192656175488793514544587505960897                 2785
    8430      6189  between_primes  -             -              0.73416370106761565836298932384341637010676156583630                 2241
    8538      5693  between_primes  -             -              0.66678379011478097915202623565237760599672054345280                 2845
    8598      5733  between_primes  -             -              0.66678297278436845778087927424982554082344731332868                 2865
    8628      5755  between_primes  -             -              0.66701437181270282800185442744552619378766805748725                 2873
    8748      5831  neither         3,1 pattern   -              0.66655235482395976223136716963877457704618198445359                 2917
    8820      6803  between_primes  -             -              0.77131519274376417233560090702947845804988662131519                 2017
    8838      5897  between_primes  -             -              0.66723240552161122425888210002262955419778230368862                 2941
    8862      6341  between_primes  -             -              0.71552696908147145113969758519521552696908147145114                 2521
    8970      6857  between_primes  -             -              0.76443701226309921962095875139353400222965440356745                 2113
    9000      6599  between_primes  -             -              0.73322222222222222222222222222222222222222222222222                 2401
    9012      6011  between_primes  -             -              0.66699955614735907678650687971593430980914336440302                 3001
    9042      6321  between_primes  -             -              0.69907100199071001990710019907100199071001990710020                 2721
    9216      6143  neither         3,1 pattern   -              0.66655815972222222222222222222222222222222222222222                 3073
    9240      7319  between_primes  -             -              0.79209956709956709956709956709956709956709956709957                 1921
    9282      6977  between_primes  -             -              0.75166989872872225813402283990519284636931695755225                 2305
    9342      6245  between_primes  -             -              0.66848640548062513380432455576964247484478698351531                 3097
    9420      6923  between_primes  -             -              0.73492569002123142250530785562632696390658174097665                 2497
    9432      6311  between_primes  -             -              0.66910517387616624257845631891433418150975402883800                 3121
    9438      6797  between_primes  -             -              0.72017376562831108285653740199194744649290103835558                 2641
    9462      6509  between_primes  -             -              0.68790953286831536673007820756711054745296977383217                 2953
    9630      7085  between_primes  -             -              0.73572170301142263759086188992731048805815160955348                 2545
    9678      6453  between_primes  -             -              0.66676999380037197768133911965282083075015499070056                 3225
    9720      7127  between_primes  -             -              0.73323045267489711934156378600823045267489711934156                 2593
    9768      6887  between_primes  -             -              0.70505733005733005733005733005733005733005733005733                 2881
    9858      6737  between_primes  -             -              0.68340434165145059849868127409210793264353824305133                 3121
    9930      7289  between_primes  -             -              0.73403826787512588116817724068479355488418932527694                 2641
   10008      6695  between_primes  -             -              0.66896482813749000799360511590727418065547561950440                 3313
   10038      7181  between_primes  -             -              0.71538155010958358238692966726439529786810121538155                 2857
   10068      6715  between_primes  -             -              0.66696464044497417560588001589193484306714342471196                 3353
   10092      6843  between_primes  -             -              0.67806183115338882282996432818073721759809750297265                 3249
   10140      7643  between_primes  -             -              0.75374753451676528599605522682445759368836291913215                 2497
   10272      6879  between_primes  -             -              0.66968457943925233644859813084112149532710280373832                 3393
   10302      7101  between_primes  -             -              0.68928363424577751892836342457775189283634245777519                 3201
   10332      7451  between_primes  -             -              0.72115756871854432830042586140147115756871854432830                 2881
   10368      6911  neither         3,1 pattern   -              0.66657021604938271604938271604938271604938271604938                 3457
   10428      7307  between_primes  -             -              0.70070962792481779823551975450709627924817798235520                 3121
   10458      7505  between_primes  -             -              0.71763243449990437942245171160833811436221074775292                 2953
   10500      8099  between_primes  -             -              0.77133333333333333333333333333333333333333333333333                 2401
   10530      7937  between_primes  -             -              0.75375118708452041785375118708452041785375118708452                 2593
   10710      8405  between_primes  -             -              0.78478057889822595704948646125116713352007469654528                 2305
   10860      7979  between_primes  -             -              0.73471454880294659300184162062615101289134438305709                 2881
   10890      8249  between_primes  -             -              0.75748393021120293847566574839302112029384756657484                 2641
   10938      7293  between_primes  -             -              0.66675809105869445968184311574328030718595721338453                 3645
   11058      7601  between_primes  -             -              0.68737565563393018629046843913908482546572617109785                 3457
   11070      8189  between_primes  -             -              0.73974706413730803974706413730803974706413730803975                 2881
   11118      7661  between_primes  -             -              0.68906278107573304551178269472926785393056305090844                 3457
   11160      8279  between_primes  -             -              0.74184587813620071684587813620071684587813620071685                 2881
   11172      8147  between_primes  -             -              0.72923379878267096312209094163981382026494808449696                 3025
   11352      7991  between_primes  -             -              0.70392882311486962649753347427766032417195207892882                 3361
   11490      8433  between_primes  -             -              0.73394255874673629242819843342036553524804177545692                 3057
   11550      9149  between_primes  -             -              0.79212121212121212121212121212121212121212121212121                 2401
   11664      7775  neither         3,1 pattern   -              0.66658093278463648834019204389574759945130315500686                 3889
   11700      8819  between_primes  -             -              0.75376068376068376068376068376068376068376068376068                 2881
   11718      8477  between_primes  -             -              0.72341696535244922341696535244922341696535244922342                 3241
   11778      8177  between_primes  -             -              0.69426048565121412803532008830022075055187637969095                 3601
   11832      8247  between_primes  -             -              0.69700811359026369168356997971602434077079107505071                 3585
   11940      8771  between_primes  -             -              0.73458961474036850921273031825795644891122278056951                 3169
   11970      9377  between_primes  -             -              0.78337510442773600668337510442773600668337510442774                 2593
   12042      8045  between_primes  -             -              0.66807839229363893041023085866135193489453579139678                 3997
   12072      8055  between_primes  -             -              0.66724652087475149105367793240556660039761431411531                 4017
   12108      8075  between_primes  -             -              0.66691443673604228609184010571522960026428807400066                 4033
   12162      8109  between_primes  -             -              0.66674888998519980266403552047360631475086334484460                 4053
   12240      9167  between_primes  -             -              0.74893790849673202614379084967320261437908496732026                 3073
   12252      8171  between_primes  -             -              0.66691152464903689193601044727391446294482533463924                 4081
   12288      8191  neither         3,1 pattern   -              0.66658528645833333333333333333333333333333333333333                 4097
   12378      8253  between_primes  -             -              0.66674745516238487639360155113911778962675714978187                 4125
   12540      9659  between_primes  -             -              0.77025518341307814992025518341307814992025518341308                 2881
   12612      8411  between_primes  -             -              0.66690453536314620995876942594354582936885505867428                 4201
   12822      8549  between_primes  -             -              0.66674465761971611293090001559819060988925284666979                 4273
   12918      8613  between_primes  -             -              0.66674407803065490013934045517882025081281932187645                 4305
   13002      9081  between_primes  -             -              0.69843101061375173050299953853253345639132441162898                 3921
   13008      8687  between_primes  -             -              0.66781980319803198031980319803198031980319803198032                 4321
   13122      8747  neither         3,1 pattern   -              0.66659045877152873037646700198140527358634354519128                 4375
   13218      8813  between_primes  -             -              0.66674232107731880768648812225752761385988803147223                 4405
   13338      9449  between_primes  -             -              0.70842705053231369020842705053231369020842705053231                 3889
   13398     10037  between_primes  -             -              0.74914166293476638304224511121062845200776235258994                 3361
   13680     10223  between_primes  -             -              0.74729532163742690058479532163742690058479532163743                 3457
   13692      9803  between_primes  -             -              0.71596552731522056675430908559742915571136430032136                 3889
   13710     10061  between_primes  -             -              0.73384390955506929248723559445660102115244347191831                 3649
   13722      9149  between_primes  -             -              0.66673954234076665209153184666958169363066608366127                 4573
   13758      9173  between_primes  -             -              0.66673935164994912051170228230847506905073411833115                 4585
   13824      9215  neither         3,1 pattern   -              0.66659432870370370370370370370370370370370370370370                 4609
   13830     10149  between_primes  -             -              0.73383947939262472885032537960954446854663774403471                 3681
   13878      9269  between_primes  -             -              0.66789162703559590719123793053754143248306672431186                 4609
   13902      9941  between_primes  -             -              0.71507696734282837001870234498633290174075672565099                 3961
   13932      9395  between_primes  -             -              0.67434682744760264140109101349411426930806775768016                 4537
   13998      9333  between_primes  -             -              0.66673810544363480497213887698242606086583797685384                 4665
   14010     10281  between_primes  -             -              0.73383297644539614561027837259100642398286937901499                 3729
   14082      9389  between_primes  -             -              0.66673767930691663116034654168441982672915779008664                 4693
   14250     10649  between_primes  -             -              0.74729824561403508771929824561403508771929824561404                 3601
   14322     10721  between_primes  -             -              0.74856863566540985895824605502024856863566540985896                 3601
   14388     10067  between_primes  -             -              0.69968028912983041423408395885460105643591882123992                 4321
   14448     10415  between_primes  -             -              0.72086101882613510520487264673311184939091915836102                 4033
